id,login,password_hash,full_name,role_id
1,94d5ous@gmail.com,uzWC67,Никифорова Весения Николаевна,3
2,uth4iz@mail.com,2L6KZG,Сазонов Руслан Германович,3
3,yzls62@outlook.com,JlFRCZ,Одинцов Серафим Артёмович,3
4,1diph5e@tutanota.com,8ntwUp,Степанов Михаил Артёмович,2
5,tjde7c@yahoo.com,YOyhfR,Ворсин Петр Евгеньевич,2
6,wpmrc3do@tutanota.com,RSbvHv,Старикова Елена Павловна,2
7,5d4zbu@tutanota.com,rwVDh9,Михайлюк Анна Вячеславовна,1
8,ptec8ym@yahoo.com,LdNyos,Ситдикова Елена Анатольевна,1
9,1qz4kw@mail.com,gynQMT,Ворсин Петр Евгеньевич,1
10,4np6se@mail.com,AtnDjr,Старикова Елена Павловна,1
